Ger둻,Betriebssystem,Applikation,Art der Daten,Zentraler Server?,User friendly privacy?,Folgen Datenverlust,Folgen Datendiebstahl,Backup?,Art des Backups,Backup-H둼figkeit,Massnahmen
"Mac Studio, MacBook, iPhone",macOS/iOS,Apple ID,"Pers둵liche Daten, Zahlungsinformationen, Fotos, Dokumente",Ja,Ja,Kritisch - Verlust Zugang zu allen Apple Services,Sehr kritisch - Identit채tsdiebstahl m철glich,Ja,iCloud Backup,T둮lich,"2FA aktivieren, starkes Passwort"
Alle Ger둻e,Multi,WhatsApp,"Chats, Kontakte, Medien",Ja,Mittel,Mittel - Chatverlauf weg,Hoch - private Gespr채che,Ja,Cloud Backup,T둮lich,Chat-Backup verschl웧seln
Alle Ger둻e,Multi,Telegram,"Chats, Kontakte, Medien",Ja,Hoch,Mittel,Hoch - private Gespr채che,Ja,Cloud Sync,Echtzeit,Secret Chats nutzen
Alle Ger둻e,Multi,Instagram,"Fotos, DMs, Profildaten",Ja,Niedrig,Niedrig,Mittel - Social Engineering,Nein,-,-,"Privates Profil, starkes Passwort"
Alle Ger둻e,Multi,GitHub,"Code, Projekte",Ja,Hoch,Hoch - Codeverlust,Mittel - IP-Verlust,Ja,Git Clone,Bei Push,Private Repos nutzen
Alle Ger둻e,Multi,Fortnite,"Spielstand, Freunde",Ja,Mittel,Niedrig,Niedrig,Ja,Epic Cloud,Automatisch,2FA aktivieren
Alle Ger둻e,Multi,ChatGPT,Chatverleufe,Ja,Mittel,Niedrig,Mittel - sensible Gespr채che,Nein,-,-,Keine sensiblen Daten teilen
Alle Ger둻e,Multi,Chrome,"Passw쉜ter, Lesezeichen, Verlauf",Ja,Mittel,Hoch,Sehr hoch - Zugangsdaten,Ja,Google Sync,Echtzeit,Passwortmanager nutzen
Alle Ger둻e,Multi,OneDrive,"Dokumente, Backups",Ja,Hoch,Kritisch - Datenverlust,Hoch - private Daten,Ja,Cloud Sync,Echtzeit,Verschl웧selung aktivieren
Alle Ger둻e,Multi,Safari,"Passw쉜ter, Lesezeichen, Verlauf",Ja,Hoch,Hoch,Sehr hoch - Zugangsdaten,Ja,iCloud Sync,Echtzeit,iCloud Keychain nutzen
Alle Ger둻e,Multi,Gmail,"Emails, Kontakte",Ja,Mittel,Hoch,Hoch - private Emails,Ja,Google Backup,Echtzeit,"2FA, regelm둺sig Export"
Alle Ger둻e,Multi,Teams,"Chats, Dateien, Meetings",Ja,Hoch,Mittel,Hoch - Gesch채ftsdaten,Ja,Cloud Backup,Echtzeit,Sensible Daten nur intern
